meta_id,source_row_ids,logical_status,source_count,periods,asset_ref_canonical,asset_refs_observed,filename_or_concepts,dates_observed,local_times_observed,formats_observed,metric_definitions_observed,metric_values_observed,reactions,comments,shares,metrics_consistent,inventory_id_candidates,cnt_id_status,sources_observed,notes
1036844829507460_122128200267072582,96,Unique_Logical_Publication,1,Junio_2026,260729,260729,Universe - Existencial 260729,2026-06-08,,Image,Reactions + comments + shares,4,3,0,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128511733072582,97,Unique_Logical_Publication,1,Junio_2026,260730,260730,Universe - Existencial 260730,2026-06-09,,Image,Reactions + comments + shares,27,21,0,6,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128536909072582,203,Unique_Logical_Publication,1,Junio_2026,260731,260731,Universe - Existencial 260731,2026-06-09,,Image,Reactions + comments + shares,226,190,10,26,Yes,,No_inventory_match,User validation of June review contact sheet + Meta photo object,One source row observed.
1036844829507460_122128714959072582,98,Unique_Logical_Publication,1,Junio_2026,260732,260732,Universe - Existencial 260732,2026-06-09,,Image,Reactions + comments + shares,61,49,0,12,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122128723341072582,32;99,Consolidated_Logical_Duplicate,2,Junio_2026,260733,260733;260733 - Evan - Yo aura fuerte (10-jun-26),260733 - Evan - Yo aura fuerte (10-jun-26).png;260733 - Evan - Yo aura fuerte (10-jun-26),2026-06-09,2026-06-09T20:44:56-06:00,Unknown_from_dataset;Image,Reacciones + comentarios + shares;Reactions + comments + shares,1127,896,20,211,Yes,CNT-071,Candidate_from_inventory_key,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv;2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Original rows preserved in source file; use this row for aggregates. Duplicate rows agree on reactions/comments/shares.
1036844829507460_122129013585072582,34;100,Consolidated_Logical_Duplicate,2,Junio_2026,260735,260735;260735 - Universe  - dentro de ti hay dos payasos (10-jun-26),260735 - Universe - dentro de ti hay dos payasos (10-jun-26).png;260735 - Universe  - dentro de ti hay dos payasos (10-jun-26),2026-06-10,2026-06-10T14:32:01-06:00,Unknown_from_dataset;Image,Reacciones + comentarios + shares;Reactions + comments + shares,785,509,13,263,Yes,CNT-073,Candidate_from_inventory_key,2026-08-14_Comparativo_Desempeno_Junio_Julio_Agosto_Datos.csv;2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,Original rows preserved in source file; use this row for aggregates. Duplicate rows agree on reactions/comments/shares.
1036844829507460_122129019423072582,101,Unique_Logical_Publication,1,Junio_2026,260738,260738,Universe - Existencial 260738,2026-06-10,,Image,Reactions + comments + shares,31,26,1,4,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122129025387072582,201,Unique_Logical_Publication,1,Junio_2026,,015,Universe sent me - 015,2026-06-10,,Image,Reactions + comments + shares,12,9,2,1,Yes,,No_inventory_match,User validation of June review contact sheet + Meta photo object,One source row observed.
1036844829507460_122129029371072582,102,Unique_Logical_Publication,1,Junio_2026,260737,260737,Universe - Existencial 260737,2026-06-10,,Image,Reactions + comments + shares,11,9,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122129033775072582,103,Unique_Logical_Publication,1,Junio_2026,260739,260739,Universe - Existencial 260739,2026-06-10,,Image,Reactions + comments + shares,12,9,2,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122129076597072582,104,Unique_Logical_Publication,1,Junio_2026,260741,260741,Universe - Existencial 260741,2026-06-10,,Image,Reactions + comments + shares,15,6,1,8,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
1036844829507460_122129206443072582,105,Unique_Logical_Publication,1,Junio_2026,260742,260742,Universe - Existencial 260742,2026-06-11,,Image,Reactions + comments + shares,11,9,1,1,Yes,,No_inventory_match,2026-08-17_Assets_Junio_FB_IDs.xlsx + Meta photo object + visual match,One source row observed.
