Queue_ID,Priority_Rank,Tier,Meta_Post_ID,Meta_Reel_ID,Publication_UTC,Engagement,Meta_Caption,Drive_File_ID,Drive_File_Name,Drive_Folder_Path,Drive_Created_UTC,Drive_Modified_UTC,Drive_MimeType,Drive_Duration_ms,Date_Delta_Days,Filename_Token_Overlap,Triage_Score,Triage_Status,Decision_Status
RAQ-028,28,Tier_2,1036844829507460_122126660835072582,1435807688312479,2026-06-04T19:16:07+0000,6,,1S48ovdPe-5FFN49XBOjQsJfDx7B-XRR8,Universe sent me - 009.png,Reels/INSTAGRAM,2026-06-04T18:08:37.959Z,2026-06-04T18:08:37.959Z,image/png,,0.05,,4.99,Date_Proximity_Only,Queued_For_Review
RAQ-028,28,Tier_2,1036844829507460_122126660835072582,1435807688312479,2026-06-04T19:16:07+0000,6,,1ddNYoBaMUSBxgvvlewQ8ZW8eu092FjHm,Universe sent me - 006.png,Reels/INSTAGRAM,2026-06-03T23:58:07.032Z,2026-06-03T23:58:07.041Z,image/png,,0.8,,4.84,Date_Proximity_Only,Queued_For_Review
RAQ-028,28,Tier_2,1036844829507460_122126660835072582,1435807688312479,2026-06-04T19:16:07+0000,6,,1hVE1ceCZc3QLeSZrxEPcd1iWiS3o7EN7,Universe sent me - 007.png,Reels/INSTAGRAM,2026-06-04T00:03:06.401Z,2026-06-04T00:03:06.405Z,image/png,,0.8,,4.84,Date_Proximity_Only,Queued_For_Review
RAQ-028,28,Tier_2,1036844829507460_122126660835072582,1435807688312479,2026-06-04T19:16:07+0000,6,,1C6kKzM5W7vOAirgPd3TTs3Uapt-fjGqf,Universe sent me - 008.png,Reels/INSTAGRAM,2026-06-04T00:05:34.108Z,2026-06-04T00:05:34.112Z,image/png,,0.8,,4.84,Date_Proximity_Only,Queued_For_Review
RAQ-029,29,Tier_2,1036844829507460_122130309663072582,26897361879960074,2026-06-14T20:55:01+0000,6,No corras por correr...,18GoVQOBam-Tgox4rXNyRwwZk19BBeEzF,Man_exerting_intense_physical_ef…_202606131851.mp4,Reels,2026-06-13T23:51:45.731Z,2026-06-13T23:51:45.741Z,video/mp4,9999,0.88,,4.82,Date_Proximity_Only,Queued_For_Review
RAQ-029,29,Tier_2,1036844829507460_122130309663072582,26897361879960074,2026-06-14T20:55:01+0000,6,No corras por correr...,1vFRModK-KTYj6D9ZXhYBFhMOr3B-fS5F,Man_pressing_hands_temples_202606131832.mp4,Reels,2026-06-13T23:32:24.911Z,2026-06-13T23:32:24.917Z,video/mp4,7999,0.89,,4.82,Date_Proximity_Only,Queued_For_Review
RAQ-029,29,Tier_2,1036844829507460_122130309663072582,26897361879960074,2026-06-14T20:55:01+0000,6,No corras por correr...,1EkeGe3RB24J0RibBiExsJ0mHOBpOUGG4,"ChatGPT Image 11 jun 2026, 05_59_03 p.m.png",Reels/INSTAGRAM,2026-06-11T22:59:03.445Z,2026-06-11T22:59:03.465Z,image/png,,2.91,,4.42,Date_Proximity_Only,Queued_For_Review
RAQ-029,29,Tier_2,1036844829507460_122130309663072582,26897361879960074,2026-06-14T20:55:01+0000,6,No corras por correr...,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,Reels/INSTAGRAM,2026-06-11T22:19:14.629Z,2026-06-11T22:19:14.641Z,video/mp4,9999,2.94,,4.41,Date_Proximity_Only,Queued_For_Review
RAQ-029,29,Tier_2,1036844829507460_122130309663072582,26897361879960074,2026-06-14T20:55:01+0000,6,No corras por correr...,15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe sent me - 022.png,Reels/INSTAGRAM,2026-06-10T21:41:45.750Z,2026-06-10T21:41:45.759Z,image/png,,3.97,,4.21,Date_Proximity_Only,Queued_For_Review
RAQ-030,30,Tier_2,1036844829507460_122131046847072582,983735404264898,2026-06-16T19:53:08+0000,6,#veaterapia #universesentme #humoracido #vidareal,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,22.84,universesentme,10.43,Candidate_Visual_Review,Queued_For_Review
RAQ-030,30,Tier_2,1036844829507460_122131046847072582,983735404264898,2026-06-16T19:53:08+0000,6,#veaterapia #universesentme #humoracido #vidareal,18GoVQOBam-Tgox4rXNyRwwZk19BBeEzF,Man_exerting_intense_physical_ef…_202606131851.mp4,Reels,2026-06-13T23:51:45.731Z,2026-06-13T23:51:45.741Z,video/mp4,9999,2.83,,4.43,Date_Proximity_Only,Queued_For_Review
RAQ-030,30,Tier_2,1036844829507460_122131046847072582,983735404264898,2026-06-16T19:53:08+0000,6,#veaterapia #universesentme #humoracido #vidareal,1vFRModK-KTYj6D9ZXhYBFhMOr3B-fS5F,Man_pressing_hands_temples_202606131832.mp4,Reels,2026-06-13T23:32:24.911Z,2026-06-13T23:32:24.917Z,video/mp4,7999,2.85,,4.43,Date_Proximity_Only,Queued_For_Review
RAQ-030,30,Tier_2,1036844829507460_122131046847072582,983735404264898,2026-06-16T19:53:08+0000,6,#veaterapia #universesentme #humoracido #vidareal,1EkeGe3RB24J0RibBiExsJ0mHOBpOUGG4,"ChatGPT Image 11 jun 2026, 05_59_03 p.m.png",Reels/INSTAGRAM,2026-06-11T22:59:03.445Z,2026-06-11T22:59:03.465Z,image/png,,4.87,,4.03,Date_Proximity_Only,Queued_For_Review
RAQ-030,30,Tier_2,1036844829507460_122131046847072582,983735404264898,2026-06-16T19:53:08+0000,6,#veaterapia #universesentme #humoracido #vidareal,1Ehu7kSMzKMxlPGJVGkiyGoJLnyYHv_B0,Universe Real - 008.mp4,Reels/INSTAGRAM,2026-06-11T22:19:14.629Z,2026-06-11T22:19:14.641Z,video/mp4,9999,4.9,,4.02,Date_Proximity_Only,Queued_For_Review
RAQ-033,33,Tier_2,1036844829507460_122119754589072582,2434955736918044,2026-05-12T17:53:03+0000,4,#UniverseSentMe #humoracido #michaeljackson,1HTTD4Qp-2jVtG9uq2dFJegp2Xf_1W5VX,UniverseSentMe OnAir.png,Reels/Horoscopos,2026-07-09T16:05:28.926Z,2026-07-09T16:05:28.932Z,image/png,,57.93,universesentme,10.0,Candidate_Visual_Review,Queued_For_Review
RAQ-034,34,Tier_2,1036844829507460_122123290425072582,2133164140577732,2026-05-24T00:44:12+0000,4,,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,Reels,2026-05-24T21:29:12.665Z,2026-05-24T21:29:12.673Z,video/mp4,7999,0.86,,4.83,Date_Proximity_Only,Queued_For_Review
